sku,GID,descriptionHtml,specs.width_mm,specs.length_mm,specs.height_mm,specs.weight_kg,specs.voltage,specs.wattage,specs.cooking_surface_mm,specs.energy_type,specs.construction,specs.usage_time,specs.temperature,specs.safety_features,specs.special_features,specs.accessories,specs.performance_rate,specs.service_warranty,specs.spareparts_warranty,specs.made_in,specs.certificates
ROL1-MAJESTIC-R,gid://shopify/Product/8645502337223,"<p>Double contact-grills for fast-foods and high output chains.</p><ul><li>Grilling in high quantities and alternate cooking between both plates.</li><li>Same characteristics as Savoye and Panini contact-grills, with independent controls.</li></ul><p>Options:</p><ul><li>Electronic timer with 3 independent cooking times (for PANINI and DOUBLE PANINI).</li><li>Auto regulation system of the height of cooking.</li><li>Individual plates available in grooved or flat versions for wraps, blinis, Swedish bread, omelettes...</li></ul>",560,460,280,36 kg,4 kW,380V,535x240,Electric,Cast iron,Continuous,300°C,Thermostat,Ribbed plate,Scraper,192 steaks/h,1 Year,1 Year,France,"CE, UL/NSF"
ROL1-MAJESTIC-RB,gid://shopify/Product/8645877465287,"<p>Double contact-grills for fast-foods and high output chains.</p><ul><li>Grilling in high quantities and alternate cooking between both plates.</li><li>Same characteristics as Savoye and Panini contact-grills, with independent controls.</li></ul><p>Options:</p><ul><li>Electronic timer with 3 independent cooking times (for PANINI and DOUBLE PANINI).</li><li>Auto regulation system of the height of cooking.</li><li>Individual plates available in grooved or flat versions for wraps, blinis, Swedish bread, omelettes...</li></ul>",560,460,280,36 kg,4 kW,380V,535x240,Electric,Cast iron,Continuous,300°C,Thermostat,Double ribbed,Scraper,192 steaks/h,1 Year,1 Year,France,"CE, UL/NSF"
ROL1-MC-03,gid://shopify/Product/8645502369991,"<p>Wheeled cart in stainless steel for takeaways concepts (crepes, waffles, snacks…).</p><ul><li>Storage area with adjustable stainless-steel shelf, locked with 2 sliding doors.</li><li>Glass sneeze guard (H01085 = 1000 x 300 mm).</li><li>Stainless steel plate (40308 = 250 x 265 mm).</li><li>Customized backlit poster upon request (850 x 600 mm).</li><li>2 plugs (16 A / 220-240 V / 1 Ph) to plug in the equipment.</li><li>4 castors, 2 with braking system.</li><li>Delivered with no appliance.</li></ul><p>Option: 2 stainless steel side shelves with stop (Ref. 40325 = 310 x 605 x 220 mm).</p>",100,600,825,38 kg,40 W,230V,,Electric,Stainless steel,Continuous,,,Mobile cart,LED lighting,,1 Year,1 Year,France,"CE, UL/NSF"
ROL1-MF120DR,gid://shopify/Product/8642989719751,<p>Table top fryers in all stainless steel 8 to 12 L with cold zone.</p><p>Reset of safety thermostat in the back in case of overheating or lack of oil.</p><p>Fryers with double tank 2 x 8 L till 2 x 12 L with independent control and same specifications as single models.</p><p>Cleaning: 5 removable parts and dishwasher-safe stainless-steel tank.</p><p>Features:</p><ul><li>precise bulb thermostat 180°C</li><li>safety thermostat</li><li>microswitch</li><li>pilot light</li><li>basket with heat-resistant handle</li><li>stainless steel lid</li></ul>,765,470,350,21 kg,2x6.4 kW,380V,,Electric,Stainless steel,Continuous,180°C,Safety thermostat,Double fryer,2 Baskets,32 kg/h,1 Year,1 Year,France,"CE, UL/NSF"
ROL1-MF120R,gid://shopify/Product/8645877498055,<p>Table top fryers in all stainless steel 8 to 12 L with cold zone.</p><p>Reset of safety thermostat in the back in case of overheating or lack of oil.</p><p>Fryers with double tank 2 x 8 L till 2 x 12 L with independent control and same specifications as single models.</p><p>Cleaning: 5 removable parts and dishwasher-safe stainless-steel tank.</p><p>Features:</p><ul><li>precise bulb thermostat 180°C</li><li>safety thermostat</li><li>microswitch</li><li>pilot light</li><li>basket with heat-resistant handle</li><li>stainless steel lid</li></ul>,395,470,350,11 kg,6.4 kW,380V,,Electric,Stainless steel,Continuous,180°C,Safety thermostat,Single fryer,Basket,16 kg/h,1 Year,1 Year,France,"CE, UL/NSF"
ROL1-MG-02,gid://shopify/Product/8642987065543,"<p>Wheeled cart in stainless steel for takeaways concepts (crepes, waffles, snacks…).</p><ul><li>Storage area with adjustable stainless-steel shelf, locked with 2 sliding doors.</li><li>Glass sneeze guard (H01085 = 1000 x 300 mm).</li><li>Stainless steel plate (40308 = 250 x 265 mm).</li><li>Customized backlit poster upon request (850 x 600 mm).</li><li>2 plugs (16 A / 220-240 V / 1 Ph) to plug in the equipment.</li><li>4 castors, 2 with braking system.</li><li>Delivered with no appliance.</li></ul><p>Option: 2 stainless steel side shelves with stop (Ref. 40325 = 310 x 605 x 220 mm).</p>",100,600,825,38 kg,40 W,230V,,Electric,Stainless steel,Continuous,,,Mobile cart,LED lighting,,1 Year,1 Year,France,"CE, UL/NSF"
ROL1-PANINI-R,gid://shopify/Product/8646051365063,<p>Preheating = 15 min.</p><p>Even cooking thanks to spiral heating element.</p><p>Adjusted cooking: self-balanced upper plate and adjustable pressure spring.</p><p>Cleaning: dishwasher-safe juice tray and stainless steel scraper for cast-iron plates.</p><p>Features:</p><ul><li>commutator-thermostat (0-300°C)</li><li>robust stainless steel handle</li><li>pilot lights.</li></ul>,380,460,280,24 kg,3 kW,230V,360x240,Electric,Cast iron,Continuous,300°C,Thermostat,Ribbed plates,Scraper,48 panini/h,1 Year,1 Year,France,"CE, UL/NSF"
ROL1-PANINI-RB,gid://shopify/Product/8646051397831,<p>Preheating = 15 min.</p><p>Even cooking thanks to spiral heating element.</p><p>Adjusted cooking: self-balanced upper plate and adjustable pressure spring.</p><p>Cleaning: dishwasher-safe juice tray and stainless steel scraper for cast-iron plates.</p><p>Features:</p><ul><li>commutator-thermostat (0-300°C)</li><li>robust stainless steel handle</li><li>pilot lights.</li></ul>,380,460,280,24 kg,3 kW,230V,360x240,Electric,Cast iron,Continuous,300°C,Thermostat,Double ribbed,Scraper,48 panini/h,1 Year,1 Year,France,"CE, UL/NSF"
ROL1-PANINI-XLE,gid://shopify/Product/8646051430599,"<p>1. XL contact-grill function ( 360 x 360 mm): 5 panini in 1 cooking, namely 130 panini/h!</p><p>2. Plancha grill function: 9 fresh or frozen steaks/hamburgers in 1 cooking, namely 415 hamburgers/h!</p><ul><li>Robust construction with cast-iron plates and safety device for heavy duty use.</li><li>Available with flat plates for the cooking of omelettes, fried eggs, galettes, Swedish bread, blinis, wraps…</li></ul><p>Cleaning: stainless steel scraper and dishwasher-safe juice tray.</p><p>Features:</p><ul><li>precise bulb-thermostat (0-300°C)</li><li>robust stainless steel handle</li><li>commutator.</li></ul><p>Option: electronic timer with 3 independent cooking times (PANINI XLE B).</p>",400,600,320,32 kg,3.6 kW,230V,360x360,Electric,Cast iron,Continuous,300°C,Thermostat,Extra large,Timer,130 panini/h,1 Year,1 Year,France,"CE, UL/NSF"
ROL1-PANINI-XLL,gid://shopify/Product/8646051463367,"<p>1. XL contact-grill function ( 360 x 360 mm): 5 panini in 1 cooking, namely 130 panini/h!</p><p>2. Plancha grill function: 9 fresh or frozen steaks/hamburgers in 1 cooking, namely 415 hamburgers/h!</p><ul><li>Robust construction with cast-iron plates and safety device for heavy duty use.</li><li>Available with flat plates for the cooking of omelettes, fried eggs, galettes, Swedish bread, blinis, wraps…</li></ul><p>Cleaning: stainless steel scraper and dishwasher-safe juice tray.</p><p>Features:</p><ul><li>precise bulb-thermostat (0-300°C)</li><li>robust stainless steel handle</li><li>commutator.</li></ul><p>Option: electronic timer with 3 independent cooking times (PANINI XLE B).</p>",400,600,320,32 kg,3.6 kW,230V,360x360,Electric,Cast iron,Continuous,300°C,Thermostat,Smooth plate,Timer,130 panini/h,1 Year,1 Year,France,"CE, UL/NSF"
ROL1-PIC25,gid://shopify/Product/8645507023047,"<p>Induction cooktop with stainless steel frame for snack concepts, takeaways and food-trucks. French and professional induction technology.</p><ul><li>Ultra-fast temperature rise</li><li>Precise and instant regulation</li><li>Non-stop use during 8h without any automatic switch off</li><li>Sauté possibility at 30 - 40 mm high</li><li>Efficiency &gt; 95 %</li></ul><p>Control panel with capacitive keys:</p><ul><li>on/off</li><li>20 power levels</li><li>ventilation</li><li>timer</li><li>sound timer and cut-off</li></ul>",315,380,102,6 kg,2.5 kW,230V,280x280,Electric,Vitroceramic,Continuous,Variable,Electronic control,Induction,,,1 Year,1 Year,France,"CE, UL/NSF"
ROL1-PID30,gid://shopify/Product/8642988572871,HyperText Markup Language,590,380,102,11 kg,2x3 kW,230V,555x280,Electric,Vitroceramic,Continuous,Variable,Electronic control,Double induction,,,1 Year,1 Year,France,"CE, UL/NSF"
ROL1-PID700,gid://shopify/Product/8645877530823,"<p>PID 700 : Induction plancha grill with stainless steel frame for snack concepts, takeaways and food-trucks. French and professional induction technology.</p><ul><li>Ultra-fast temperature rise.</li><li>Sauté possibility at 30 - 40 mm high.</li><li>Non-stop use at maxi power during 8h without any automatic switch off.</li><li>Efficiency &gt; 95 %.</li></ul><p>Control panel with capacitive keys :</p><ul><li>on/off, 20 power levels</li><li>ventilation</li><li>sound timer and cut-off..</li></ul><p>PRG 700:</p><ul><li>2 powerful fire zones</li><li>2 knobs with slow position</li><li>2 press buttons for Piezo lighting</li><li>safety thermocouples.</li><li>Supplied in LPG with a set of NG injectors.</li></ul>",400,700,200,15 kg,2x3 kW,230V,365x585,Electric,Stainless steel,Continuous,Variable,Electronic control,Builtin induction,,,1 Year,1 Year,France,"CE, UL/NSF"
ROL1-PIS30,gid://shopify/Product/8645506990279,"<p>Induction cooktop with stainless steel frame for snack concepts, takeaways and food-trucks. French and professional induction technology.</p><ul><li>Ultra-fast temperature rise.</li><li>Precise and instant regulation.</li><li>Non-stop use during 8h without any automatic switch off.</li><li>Sauté possibility at 30 - 40 mm high.</li><li>Efficiency &gt; 95 %.</li></ul><p>Control panel with capacitive keys:</p><ul><li>on/off</li><li>20 power levels</li><li>ventilation</li><li>timer</li><li>sound timer and cut-off.</li></ul>",315,380,102,6 kg,3 kW,230V,280x280,Electric,Vitroceramic,Continuous,Variable,Electronic control,Single induction,,,1 Year,1 Year,France,"CE, UL/NSF"
ROL1-PIW30,gid://shopify/Product/8645509054663,"<p>Induction cooktop with stainless steel frame for snack concepts, takeaways and food-trucks. French and professional induction technology.</p><ul><li>Ultra-fast temperature rise.</li><li>Precise and instant regulation.</li><li>Non-stop use during 8h without any automatic switch off.</li><li>Sauté possibility at 30 - 40 mm high.</li><li>Efficiency &gt; 95 %.</li></ul><p>Control panel with capacitive keys:</p><ul><li>on/off</li><li>20 power levels</li><li>ventilation</li><li>timer</li><li>sound timer and cut-off.</li></ul>",390,430,165,7 kg,3 kW,230V,Ø360,Electric,Vitroceramic,Continuous,Variable,Electronic control,Wok induction,,,1 Year,1 Year,France,"CE, UL/NSF"
ROL1-PREMIUM,gid://shopify/Product/8646051496135,"<ol><li>Contact-grill function: 48 panini/h!</li><li>Plancha grill function: 6 fresh or frozen steaks/hamburgers in 1 cooking, namely 135 steaks/h!</li><li>Grill marking/reheating function in a few seconds with the top plate.</li></ol><ul><li>High temperature rise in 8’30 min at 280°C!</li><li>Perfect even cooking thanks to spiral heating elements integrated in the plates.</li><li>Adjusted cooking: self-balanced upper plate and adjustable pressure spring.</li><li>Electronic timer with 3 independent cooking times.</li></ul>",940,450,845,53kg,6.6kW,380V,,Electric,Stainless steel,Continuous,Not specified,,,Individual controls,Not specified,1 Year,1 Year,France,"CE, UL/NSF"
ROL1-PSF400E,gid://shopify/Product/8642989097159,"<ul><li>1 or 2 independent cooking zones.</li><li>Preheating = 15 min.</li><li>Cleaning with spatula, wet sponge. Deglazing with ice. Juice and grease draining in the dishwasher-safe drawer.</li></ul><p>Electric version:</p><ul><li>1 or 2 Incoloy heating elements</li><li>1 or 2 commutators-thermostats 0-300°C</li><li>pilot lights.</li></ul><p>Gas version:</p><ul><li>1 or 2 star-shaped burners in 6-8 branches</li><li>Piezo lighting</li><li>1 or 2 safety thermocouples</li><li>Supplied in LPG with NG injectors.</li></ul>",400,475,230,22 kg,3 kW,230V,400x400,Electric,Cast iron,Continuous,300°C,Thermostat,Single zone,Scraper,,1 Year,1 Year,France,"CE, UL/NSF"
ROL1-PSI600E,gid://shopify/Product/8645502435527,<p>High temperature rise in 10 min.</p><p>2 independent cooking zones.</p><p>Very easy cleaning with wet sponge and a little detergent. Juice and grease draining in the dishwasher-safe drawer. No deglazing. Plate = 10-year-waranty.</p><p>Electric version:</p><ul><li>1 or 2 Incoloy heating elements</li><li>1 or 2 commutators-thermostats 0-300°C</li><li>pilot lights.</li></ul><p>Gas version:</p><ul><li>1 or 2 star-shaped burners in 6-8 branches</li><li>Piezo lighting</li><li>2 power control with slow position</li><li>1 or 2 safety thermocouples</li><li>adjustable feet</li><li>Supplied in LPG with NG injectors.</li></ul>,600,500,190,29 kg,3.5 kW,230V,600x450,Electric,Stainless steel,Continuous,300°C,Thermostat,Double zone,Scraper,,1 Year,1 Year,France,"CE, UL/NSF"
ROL1-PSI600G,gid://shopify/Product/8645502468295,<ul><li>High temperature rise in 10 min.</li><li>2 independent cooking zones.</li><li>Very easy cleaning with wet sponge and a little detergent. Juice and grease draining in the dishwasher-safe drawer. No deglazing. Plate = 10-year-waranty.</li></ul><p>Electric version:</p><ul><li>1 or 2 Incoloy heating elements</li><li>1 or 2 commutators-thermostats 0-300°C</li><li>pilot lights.</li></ul><p>Gas version:</p><ul><li>1 or 2 star-shaped burners in 6-8 branches</li><li>Piezo lighting</li><li>2 power control with slow position</li><li>1 or 2 safety thermocouples</li><li>adjustable feet</li><li>Supplied in LPG with NG injectors.</li></ul>,400,520,190,32 kg,,,600x450,Gas,Stainless steel,Continuous,Variable,Thermocouple,Double zone,Scraper,,1 Year,1 Year,France,"CE, UL/NSF"
ROL1-PSR400E,gid://shopify/Product/8646051528903,"<p>High temperature rise in 10 min.</p><p>Available in 1, 2 or 3 independent cooking zones.</p><p>Cleaning with spatula, wet sponge. Deglazing with ice if the cooking surface is very dirty. Juice and grease draining in the dishwasher-safe drawer.</p><p>Electric version:</p><ul><li>1 to 3 incoloy heating elements</li><li>1 to 3 commutators-thermostats 0-300°C</li><li>pilot lights.</li></ul><p>Gas version:</p><ul><li>1 to 3 star-shaped burners in 6-8 branches</li><li>Piezo lighting, safety thermocouples</li><li>Supplied in LPG with NG injectors.</li></ul>",400,475,230,22 kg,3 kW,230V,400x400,Electric,Steel,Continuous,300°C,Thermostat,Single zone,Scraper,,1 Year,1 Year,France,"CE, UL/NSF"
ROL1-PSR400EE,gid://shopify/Product/8645502501063,"<ul><li>High temperature rise in 10 min.</li><li>Available in 1, 2 or 3 independent cooking zones.</li><li>Cleaning with spatula, wet sponge. Deglazing with ice if the cooking surface is very dirty. Juice and grease draining in the dishwasher-safe drawer.</li></ul><p>Electric version:</p><ul><li>1 to 3 incoloy heating elements</li><li>1 to 3 commutators-thermostats 0-300°C</li><li>pilot lights.</li></ul><p>Gas version:</p><ul><li>1 to 3 star-shaped burners in 6-8 branches</li><li>Piezo lighting, safety thermocouples</li><li>Supplied in LPG with NG injectors.</li></ul>",400,475,230,22 kg,3 kW,230V,400x400,Electric,Enameled steel,Continuous,300°C,Thermostat,Single zone,Scraper,,1 Year,1 Year,France,"CE, UL/NSF"
ROL1-PSR400GE,gid://shopify/Product/8642989162695,"<ul><li>High temperature rise in 10 min.</li><li>Available in 1, 2 or 3 independent cooking zones.</li><li>Cleaning with spatula, wet sponge. Deglazing with ice if the cooking surface is very dirty. Juice and grease draining in the dishwasher-safe drawer.</li></ul><p>Electric version:</p><ul><li>1 to 3 incoloy heating elements</li><li>1 to 3 commutators-thermostats 0-300°C</li><li>pilot lights.</li></ul><p>Gas version:</p><ul><li>1 to 3 star-shaped burners in 6-8 branches</li><li>Piezo lighting, safety thermocouples</li><li>Supplied in LPG with NG injectors.</li></ul>",400,475,230,22 kg,,,400x400,Gas,Enameled steel,Continuous,Variable,Thermocouple,Single zone,Scraper,,1 Year,1 Year,France,"CE, UL/NSF"
ROL1-PSR600E-220V,gid://shopify/Product/8646051594439,"<p>High temperature rise in 10 min.</p><p>Available in 1, 2 or 3 independent cooking zones.</p><p>Cleaning with spatula, wet sponge. Deglazing with ice if the cooking surface is very dirty. Juice and grease draining in the dishwasher-safe drawer.</p><p>Electric version:</p><ul><li>1 to 3 incoloy heating elements</li><li>1 to 3 commutators-thermostats 0-300°C</li><li>pilot lights.</li></ul><p>Gas version:</p><ul><li>1 to 3 star-shaped burners in 6-8 branches</li><li>Piezo lighting, safety thermocouples</li><li>Supplied in LPG with NG injectors.</li></ul>",600,475,230,32 kg,6 kW,230V,600x400,Electric,Steel,Continuous,300°C,Thermostat,Double zone,Scraper,,1 Year,1 Year,France,"CE, UL/NSF"
ROL1-PSR600E-380V,gid://shopify/Product/8646051627207,"<p>High temperature rise in 10 min.</p><p>Available in 1, 2 or 3 independent cooking zones.</p><p>Cleaning with spatula, wet sponge. Deglazing with ice if the cooking surface is very dirty. Juice and grease draining in the dishwasher-safe drawer.</p><p>Electric version:</p><ul><li>1 to 3 incoloy heating elements</li><li>1 to 3 commutators-thermostats 0-300°C</li><li>pilot lights.</li></ul><p>Gas version:</p><ul><li>1 to 3 star-shaped burners in 6-8 branches</li><li>Piezo lighting, safety thermocouples</li><li>Supplied in LPG with NG injectors.</li></ul>",600,475,230,32 kg,6 kW,380V,600x400,Electric,Steel,Continuous,300°C,Thermostat,Double zone,Scraper,,1 Year,1 Year,France,"CE, UL/NSF"
ROL1-PSR600EE,gid://shopify/Product/8646051659975,"<ul><li>High temperature rise in 10 min.</li><li>Available in 1, 2 or 3 independent cooking zones.</li><li>Cleaning with spatula, wet sponge. Deglazing with ice if the cooking surface is very dirty. Juice and grease draining in the dishwasher-safe drawer.</li></ul><p>Electric version:</p><ul><li>1 to 3 incoloy heating elements</li><li>1 to 3 commutators-thermostats 0-300°C</li><li>pilot lights.</li></ul><p>Gas version:</p><ul><li>1 to 3 star-shaped burners in 6-8 branches</li><li>Piezo lighting, safety thermocouples</li><li>Supplied in LPG with NG injectors.</li></ul>",600,475,230,32 kg,6 kW,380V,600x400,Electric,Enameled steel,Continuous,300°C,Thermostat,Double zone,Scraper,,1 Year,1 Year,France,"CE, UL/NSF"
ROL1-PSR600G,gid://shopify/Product/8646051692743,"<ul><li>High temperature rise in 10 min.</li><li>Available in 1, 2 or 3 independent cooking zones.</li><li>Cleaning with spatula, wet sponge. Deglazing with ice if the cooking surface is very dirty. Juice and grease draining in the dishwasher-safe drawer.</li></ul><p>Electric version:</p><ul><li>1 to 3 incoloy heating elements</li><li>1 to 3 commutators-thermostats 0-300&deg;C</li><li>pilot lights.</li></ul><p>Gas version:</p><ul><li>1 to 3 star-shaped burners in 6-8 branches</li><li>Piezo lighting, safety thermocouples</li><li>Supplied in LPG with NG injectors.</li></ul>",600,475,230,32 kg,6.4 kW,,600x400,Gas,Steel,Continuous,Variable,Thermocouple,Double zone,Scraper,,1 Year,1 Year,France,"CE, UL/NSF"
ROL1-PSR600GE,gid://shopify/Product/8645506564295,"<ul><li>High temperature rise in 10 min.</li><li>Available in 1, 2 or 3 independent cooking zones.</li><li>Cleaning with spatula, wet sponge. Deglazing with ice if the cooking surface is very dirty. Juice and grease draining in the dishwasher-safe drawer.</li></ul><p>Electric version:</p><ul><li>1 to 3 incoloy heating elements</li><li>1 to 3 commutators-thermostats 0-300°C</li><li>pilot lights.</li></ul><p>Gas version:</p><ul><li>1 to 3 star-shaped burners in 6-8 branches</li><li>Piezo lighting, safety thermocouples</li><li>Supplied in LPG with NG injectors.</li></ul>",600,475,230,32 kg,,,600x400,Gas,Enameled steel,Continuous,Variable,Thermocouple,Double zone,Scraper,,1 Year,1 Year,France,"CE, UL/NSF"
ROL1-PSR900E,gid://shopify/Product/8645502533831,"<ul><li>High temperature rise in 10 min.</li><li>Available in 1, 2 or 3 independent cooking zones.</li><li>Cleaning with spatula, wet sponge. Deglazing with ice if the cooking surface is very dirty. Juice and grease draining in the dishwasher-safe drawer.</li></ul><p>Electric version:</p><ul><li>1 to 3 incoloy heating elements</li><li>1 to 3 commutators-thermostats 0-300°C</li><li>pilot lights.</li></ul><p>Gas version:</p><ul><li>1 to 3 star-shaped burners in 6-8 branches</li><li>Piezo lighting, safety thermocouples</li><li>Supplied in LPG with NG injectors.</li></ul>",900,475,230,44 kg,9 kW,380V,900x400,Electric,Steel,Continuous,300°C,Thermostat,Triple zone,Scraper,,1 Year,1 Year,France,"CE, UL/NSF"
ROL1-PSR900EE,gid://shopify/Product/8645502566599,"<p>High temperature rise in 10 min.</p><p>Available in 1, 2 or 3 independent cooking zones.</p><p>Cleaning with spatula, wet sponge. Deglazing with ice if the cooking surface is very dirty. Juice and grease draining in the dishwasher-safe drawer.</p><p>Electric version:</p><ul><li>1 to 3 incoloy heating elements</li><li>1 to 3 commutators-thermostats 0-300°C</li><li>pilot lights.</li></ul><p>Gas version:</p><ul><li>1 to 3 star-shaped burners in 6-8 branches</li><li>Piezo lighting, safety thermocouples</li><li>Supplied in LPG with NG injectors.</li></ul>",900,475,230,44 kg,9 kW,380V,900x400,Electric,Enameled steel,Continuous,300°C,Thermostat,Triple zone,Scraper,,1 Year,1 Year,France,"CE, UL/NSF"
ROL1-PSR900GE,gid://shopify/Product/8645502599367,"<ul><li>High temperature rise in 10 min.</li><li>Available in 1, 2 or 3 independent cooking zones.</li><li>Cleaning with spatula, wet sponge. Deglazing with ice if the cooking surface is very dirty. Juice and grease draining in the dishwasher-safe drawer.</li></ul><p>Electric version:</p><ul><li>1 to 3 incoloy heating elements</li><li>1 to 3 commutators-thermostats 0-300°C</li><li>pilot lights.</li></ul><p>Gas version:</p><ul><li>1 to 3 star-shaped burners in 6-8 branches</li><li>Piezo lighting, safety thermocouples</li><li>Supplied in LPG with NG injectors.</li></ul>",900,475,230,46 kg,,,900x400,Gas,Enameled steel,Continuous,Variable,Thermocouple,Triple zone,Scraper,,1 Year,1 Year,France,"CE, UL/NSF"
ROL1-PZ4302D,gid://shopify/Product/8646051725511,"<p>A unique range of pizza ovens (1050°C) in catering with firestone and double regulation:</p><ul><li>regulation of baking chamber and top infrared quartz tubes thanks to the thermostat,</li><li>regulation of the firestone according to the thickness of pizza base thanks to the power control.</li></ul><p>1 fresh or frozen pizza Ø41 cm in 3 min!</p><p>1 pizza Ø41 cm / minute with 2 stacked ovens PZ 4302 D!</p><p>Can be used for chapatti, Flammekueche, pastries etc.</p>",895,580,270,57 kg,5 kW,380V,Ø410,Electric,Stainless steel,Variable,350°C,Double regulation,Double chamber,,40 pizzas/h,1 Year,1 Year,France,"CE, UL/NSF"
ROL1-PZ430D,gid://shopify/Product/8646051791047,<p>Features:</p><ul><li>8 infrared quartz tubes</li><li>15 min timer with lock position for non-stop use</li><li>thermostat 0-350°C</li><li>power control</li><li>pilot lights.</li><li>Double-insulated door with tempered glass.</li></ul><p>Option: stackable device KPZ 430.</p>,670,580,500,55 kg,6 kW,380V,Ø410,Electric,Stainless steel,Variable,350°C,Double regulation,Double chamber,,40 pizzas/h,1 Year,1 Year,France,"CE, UL/NSF"
ROL1-PZ430S,gid://shopify/Product/8646051823815,<p>Features:</p><ul><li>8 infrared quartz tubes</li><li>15 min timer with lock position for non-stop use</li><li>thermostat 0-350°C</li><li>power control</li><li>pilot lights.</li><li>Double-insulated door with tempered glass.</li></ul><p>Option: stackable device KPZ 430.</p>,670,580,270,32 kg,3 kW,230V,Ø410,Electric,Stainless steel,Variable,350°C,Double regulation,Single chamber,,20 pizzas/h,1 Year,1 Year,France,"CE, UL/NSF"
ROL1-RBG120,gid://shopify/Product/8645509087431,<p>Electric model: 6 infrared quartz tubes (1050°C).</p><ul><li>Independent control and regulation of spits with 4-position-commutator.</li><li>Cleaning: Removable rear wall.</li></ul><p>Gas model:</p><ul><li>3 infrared burners with safety thermocouple.</li><li>Independent control of spits with regulation knob.</li><li>Supplied in LPG with a set of NG injectors.</li></ul><p>Features:</p><ul><li>switches</li><li>safety glass door</li><li>removable juice tray</li></ul><p>Options:</p><ul><li>feet 100 mm (CE - UL/NSF)</li><li>spit B3 for rib steaks and pieces of poultry</li><li>wheeled table TS 1 with brake system.</li></ul>,940,450,845,63 kg,,,,Gas,Stainless steel,Continuous,Variable,Thermocouples,Infrared burners,Spits,,1 Year,1 Year,France,"CE, UL/NSF"
ROL1-RBG80,gid://shopify/Product/8645509120199,<p>Electric model: 6 infrared quartz tubes (1050°C).</p><ul><li>Independent control and regulation of spits with 4-position-commutator.</li><li>Cleaning: Removable rear wall.</li></ul><p>Gas model:</p><ul><li>3 infrared burners with safety thermocouple.</li><li>Independent control of spits with regulation knob.</li><li>Supplied in LPG with a set of NG injectors.</li></ul><p>Features:</p><ul><li>switches</li><li>safety glass door</li><li>removable juice tray</li></ul><p>Options:</p><ul><li>feet 100 mm (CE - UL/NSF)</li><li>spit B3 for rib steaks and pieces of poultry</li><li>wheeled table TS 1 with brake system.</li></ul>,940,450,845,59 kg,,,,Gas,Stainless steel,Continuous,Variable,Thermocouples,Infrared burners,Spits,,1 Year,1 Year,France,"CE, UL/NSF"
ROL1-RD60TI,gid://shopify/Product/8645509152967,"<p>Ventilated refrigeration system (+2°C/+10°C). Class T3 (tested at 25°C - 60 % of humidity).</p><p>Precise regulation and automatic defrost through electronic thermostat.</p><p>Evaporator on top.</p><p>Stainless steel, white or black.</p><p>Rotating version: 5 rotating glass shelves including 1 mirror shelf. Carrousel moved through the motor fixed on ball-bearing. Automatic stop of the carrousel by door opening.</p><p>Fixed version: 5 adjustable grids on 7 levels.</p><p>RDC 60 / RDC 80:</p><ul><li>Specific cold for chocolate +14°C/+17°C and 50 % of humidity</li><li>Class T3 (tested at 25°C - 60% of humidity)</li></ul><p>Features:</p><ul><li>double-glazed walls and doors</li><li>magnetic door closing</li><li>4 double wheels</li><li>Compressor Tecumseh France</li><li>Gas R290</li></ul><p>Option: glass with micro-holes for a use at high altitude.</p>",545,545,170,198 kg,,230V,,Electric,Stainless steel,Continuous,#ERROR!,Electronic control,Rotating,Glass shelves,,1 Year,1 Year,France,"CE, UL/NSF"
ROL1-RD800-FI,gid://shopify/Product/8645509185735,"<p>Ventilated negative cold system (-5°C/-18°C). Class T3 (tested at 25°C - 60% of humidity).</p><p>Precise regulation and automatic defrost through electronic thermostat.</p><p>Evaporator on top.</p><p>Available in stainless steel, black or white.</p><p>Features:</p><ul><li>triple-glazed walls and doors</li><li>magnetic door closing</li><li>5 glass shelves and 6 levels</li><li>4 double wheels.</li><li>Compressor Tecumseh France</li><li>Gas R290.</li></ul><p>Options:</p><ul><li>lock system</li><li>glass with micro-holes for a use at high altitude.</li></ul>",800,645,850,190 kg,,230V,,Electric,Stainless steel,Continuous,#ERROR!,Electronic control,Ventilated,Glass shelves,,1 Year,1 Year,France,"CE, UL/NSF"
ROL1-RE2,gid://shopify/Product/8645526061255,"<p>Panoramic electric rotisserie with 5 swings for 25 pieces of meat (chickens, legs of lamb, game, roasts).</p><p>Independent control of carrousel and heating sources: Incoloy heating elements on bottom, infrared quartz tubes (1050°C) and halogen (300 W).</p><p>Cleaning: removable swings, shaft, reflectors and anti-wave plate.</p><p>Can be placed on the panoramic ventilated heated display RE 2 to store and to keep warm roasted pieces of meat. Supplied with 10 removable grids and holders.</p><p>Features:</p><ul><li>timer, thermostat</li><li>temperature indicator</li><li>pilot lights.</li></ul><p>Options:</p><ul><li>B1 - set of 5 high-capacity spits (30 poultries)</li><li>B2 - spit for large pieces of meat (side of lamb, pork…)</li><li>TS2 - wheeled table support with stand</li><li>MS4 - wheeled cart with storage area and brake system</li></ul>",850,700,50,95 kg,1.5 kW,230V,,Electric,Stainless steel,Continuous,Variable,Thermostat,Heated display,10 grids,,1 Year,1 Year,France,"CE, UL/NSF"
